Collision detected: CollisionEvent(frame=112285, timestamp=2016.336923, other_actor=0000012136CC84E0)
Collision detected: CollisionEvent(frame=112285, timestamp=2016.336923, other_actor=0000012136CC8180)
Collision detected: CollisionEvent(frame=112286, timestamp=2016.355687, other_actor=0000012136CC8DE0)
Collision detected: CollisionEvent(frame=112286, timestamp=2016.355687, other_actor=0000012136CC8CC0)
Collision detected: CollisionEvent(frame=112287, timestamp=2016.373042, other_actor=0000012136CC8720)
Collision detected: CollisionEvent(frame=112287, timestamp=2016.373042, other_actor=0000012136CC8840)
Collision detected: CollisionEvent(frame=112288, timestamp=2016.391113, other_actor=0000012136CC8060)
Collision detected: CollisionEvent(frame=112288, timestamp=2016.391113, other_actor=0000012136CC8840)
Collision detected: CollisionEvent(frame=112289, timestamp=2016.409112, other_actor=0000012136CC8600)
Collision detected: CollisionEvent(frame=112289, timestamp=2016.409112, other_actor=0000012136CC8960)
Collision detected: CollisionEvent(frame=112290, timestamp=2016.426713, other_actor=0000012136CC8960)
Collision detected: CollisionEvent(frame=112290, timestamp=2016.426713, other_actor=0000012136CC83C0)
Collision detected: CollisionEvent(frame=112291, timestamp=2016.445037, other_actor=0000012136CC8720)
Collision detected: CollisionEvent(frame=112291, timestamp=2016.445037, other_actor=0000012136CC8180)
Collision detected: CollisionEvent(frame=112292, timestamp=2016.462868, other_actor=0000012136CC8840)
Collision detected: CollisionEvent(frame=112292, timestamp=2016.462868, other_actor=0000012136CC8CC0)
Collision detected: CollisionEvent(frame=112293, timestamp=2016.481426, other_actor=0000012136CC8180)
Collision detected: CollisionEvent(frame=112293, timestamp=2016.481426, other_actor=0000012136CC8CC0)
Collision detected: CollisionEvent(frame=112294, timestamp=2016.500199, other_actor=0000012136CC8600)
Collision detected: CollisionEvent(frame=112294, timestamp=2016.500199, other_actor=0000012136CC8060)
Collision detected: CollisionEvent(frame=112295, timestamp=2016.518682, other_actor=0000012136CC8CC0)
Collision detected: CollisionEvent(frame=112295, timestamp=2016.518682, other_actor=0000012136CC83C0)
Collision detected: CollisionEvent(frame=112296, timestamp=2016.536626, other_actor=0000012136CC8180)
Collision detected: CollisionEvent(frame=112296, timestamp=2016.536626, other_actor=0000012136CC8840)
Collision detected: CollisionEvent(frame=112297, timestamp=2016.556004, other_actor=0000012136CC8720)
Collision detected: CollisionEvent(frame=112297, timestamp=2016.556004, other_actor=0000012136CC8960)
Collision detected: CollisionEvent(frame=112298, timestamp=2016.573684, other_actor=0000012136CC8BA0)
Collision detected: CollisionEvent(frame=112298, timestamp=2016.573684, other_actor=0000012136CC8840)
Collision detected: CollisionEvent(frame=112299, timestamp=2016.592499, other_actor=0000012136CC8060)
Collision detected: CollisionEvent(frame=112300, timestamp=2016.611057, other_actor=0000012136CC8CC0)
Collision detected: CollisionEvent(frame=112300, timestamp=2016.611057, other_actor=0000012136CC8600)
Collision detected: CollisionEvent(frame=112301, timestamp=2016.630002, other_actor=0000012136CC8060)
Collision detected: CollisionEvent(frame=112301, timestamp=2016.630002, other_actor=0000012136CC8600)
Collision detected: CollisionEvent(frame=112302, timestamp=2016.655944, other_actor=0000012136CC8180)
Collision detected: CollisionEvent(frame=112302, timestamp=2016.655944, other_actor=0000012136CC8840)
Collision detected: CollisionEvent(frame=112303, timestamp=2016.674938, other_actor=0000012136CC8A80)
Collision detected: CollisionEvent(frame=112303, timestamp=2016.674938, other_actor=0000012136CC8060)
