LidarMeasurement(frame=94729, timestamp=1692.305351, number_of_points=467)
LidarMeasurement(frame=94730, timestamp=1692.324607, number_of_points=446)
LidarMeasurement(frame=94731, timestamp=1692.343556, number_of_points=399)
LidarMeasurement(frame=94732, timestamp=1692.362641, number_of_points=429)
LidarMeasurement(frame=94733, timestamp=1692.381540, number_of_points=379)
LidarMeasurement(frame=94734, timestamp=1692.401313, number_of_points=478)
LidarMeasurement(frame=94735, timestamp=1692.420511, number_of_points=471)
LidarMeasurement(frame=94736, timestamp=1692.439093, number_of_points=390)
LidarMeasurement(frame=94737, timestamp=1692.458020, number_of_points=451)
LidarMeasurement(frame=94738, timestamp=1692.477015, number_of_points=362)
LidarMeasurement(frame=94739, timestamp=1692.496759, number_of_points=432)
LidarMeasurement(frame=94740, timestamp=1692.515562, number_of_points=491)
LidarMeasurement(frame=94741, timestamp=1692.534691, number_of_points=394)
LidarMeasurement(frame=94742, timestamp=1692.553558, number_of_points=411)
LidarMeasurement(frame=94743, timestamp=1692.572902, number_of_points=420)
LidarMeasurement(frame=94744, timestamp=1692.591487, number_of_points=422)
LidarMeasurement(frame=94745, timestamp=1692.610142, number_of_points=452)
LidarMeasurement(frame=94746, timestamp=1692.629087, number_of_points=454)
LidarMeasurement(frame=94747, timestamp=1692.649180, number_of_points=418)
LidarMeasurement(frame=94748, timestamp=1692.667796, number_of_points=464)
LidarMeasurement(frame=94749, timestamp=1692.686554, number_of_points=366)
LidarMeasurement(frame=94750, timestamp=1692.706221, number_of_points=447)
LidarMeasurement(frame=94751, timestamp=1692.725813, number_of_points=463)
LidarMeasurement(frame=94752, timestamp=1692.744728, number_of_points=375)
LidarMeasurement(frame=94753, timestamp=1692.762957, number_of_points=416)
LidarMeasurement(frame=94754, timestamp=1692.781818, number_of_points=356)
LidarMeasurement(frame=94755, timestamp=1692.801441, number_of_points=441)
LidarMeasurement(frame=94756, timestamp=1692.819706, number_of_points=415)
LidarMeasurement(frame=94757, timestamp=1692.838697, number_of_points=401)
LidarMeasurement(frame=94758, timestamp=1692.856849, number_of_points=420)
LidarMeasurement(frame=94759, timestamp=1692.875471, number_of_points=389)
LidarMeasurement(frame=94760, timestamp=1692.894007, number_of_points=422)
LidarMeasurement(frame=94761, timestamp=1692.913286, number_of_points=495)
LidarMeasurement(frame=94762, timestamp=1692.932602, number_of_points=417)
LidarMeasurement(frame=94763, timestamp=1692.950627, number_of_points=368)
LidarMeasurement(frame=94764, timestamp=1692.969141, number_of_points=404)
LidarMeasurement(frame=94765, timestamp=1692.988105, number_of_points=365)
LidarMeasurement(frame=94766, timestamp=1693.008425, number_of_points=490)
LidarMeasurement(frame=94767, timestamp=1693.028348, number_of_points=491)
LidarMeasurement(frame=94768, timestamp=1693.051152, number_of_points=455)
LidarMeasurement(frame=112016, timestamp=2011.294104, number_of_points=719)
LidarMeasurement(frame=112017, timestamp=2011.315681, number_of_points=633)
LidarMeasurement(frame=112018, timestamp=2011.335397, number_of_points=589)
LidarMeasurement(frame=112019, timestamp=2011.354954, number_of_points=626)
LidarMeasurement(frame=112020, timestamp=2011.373803, number_of_points=521)
LidarMeasurement(frame=112021, timestamp=2011.392057, number_of_points=547)
LidarMeasurement(frame=112022, timestamp=2011.410696, number_of_points=542)
LidarMeasurement(frame=112023, timestamp=2011.428574, number_of_points=469)
LidarMeasurement(frame=112024, timestamp=2011.446953, number_of_points=576)
LidarMeasurement(frame=112025, timestamp=2011.464482, number_of_points=550)
LidarMeasurement(frame=112026, timestamp=2011.481691, number_of_points=452)
LidarMeasurement(frame=112027, timestamp=2011.498752, number_of_points=515)
LidarMeasurement(frame=112028, timestamp=2011.516527, number_of_points=497)
LidarMeasurement(frame=112029, timestamp=2011.537320, number_of_points=575)
LidarMeasurement(frame=112030, timestamp=2011.558655, number_of_points=635)
LidarMeasurement(frame=112031, timestamp=2011.576563, number_of_points=437)
LidarMeasurement(frame=112032, timestamp=2011.595025, number_of_points=572)
LidarMeasurement(frame=112033, timestamp=2011.614494, number_of_points=554)
LidarMeasurement(frame=112034, timestamp=2011.633440, number_of_points=551)
LidarMeasurement(frame=112035, timestamp=2011.652360, number_of_points=540)
LidarMeasurement(frame=112036, timestamp=2011.671055, number_of_points=507)
LidarMeasurement(frame=112037, timestamp=2011.690871, number_of_points=572)
LidarMeasurement(frame=112038, timestamp=2011.709988, number_of_points=560)
LidarMeasurement(frame=112039, timestamp=2011.728750, number_of_points=538)
LidarMeasurement(frame=112040, timestamp=2011.747873, number_of_points=526)
LidarMeasurement(frame=112041, timestamp=2011.767632, number_of_points=614)
LidarMeasurement(frame=112042, timestamp=2011.786451, number_of_points=497)
