RadarMeasurement(frame=94676, timestamp=1691.302430, point_count=7)
RadarMeasurement(frame=94677, timestamp=1691.320250, point_count=9)
RadarMeasurement(frame=94678, timestamp=1691.337759, point_count=10)
RadarMeasurement(frame=94679, timestamp=1691.355290, point_count=9)
RadarMeasurement(frame=94680, timestamp=1691.372757, point_count=8)
RadarMeasurement(frame=94681, timestamp=1691.392754, point_count=13)
RadarMeasurement(frame=94682, timestamp=1691.411040, point_count=8)
RadarMeasurement(frame=94683, timestamp=1691.428151, point_count=10)
RadarMeasurement(frame=94684, timestamp=1691.446069, point_count=6)
RadarMeasurement(frame=94685, timestamp=1691.464397, point_count=7)
RadarMeasurement(frame=94686, timestamp=1691.482434, point_count=13)
RadarMeasurement(frame=94687, timestamp=1691.500939, point_count=11)
RadarMeasurement(frame=94688, timestamp=1691.519952, point_count=10)
RadarMeasurement(frame=94689, timestamp=1691.538722, point_count=9)
RadarMeasurement(frame=94690, timestamp=1691.556670, point_count=4)
RadarMeasurement(frame=94691, timestamp=1691.575242, point_count=10)
RadarMeasurement(frame=94692, timestamp=1691.595924, point_count=10)
RadarMeasurement(frame=94693, timestamp=1691.615122, point_count=9)
RadarMeasurement(frame=94694, timestamp=1691.633508, point_count=8)
RadarMeasurement(frame=94695, timestamp=1691.652054, point_count=11)
RadarMeasurement(frame=94696, timestamp=1691.671302, point_count=5)
RadarMeasurement(frame=94697, timestamp=1691.690143, point_count=13)
RadarMeasurement(frame=94698, timestamp=1691.709884, point_count=11)
RadarMeasurement(frame=94699, timestamp=1691.728566, point_count=10)
RadarMeasurement(frame=94700, timestamp=1691.746597, point_count=4)
RadarMeasurement(frame=94701, timestamp=1691.765432, point_count=10)
RadarMeasurement(frame=94702, timestamp=1691.784330, point_count=16)
RadarMeasurement(frame=94703, timestamp=1691.804305, point_count=5)
RadarMeasurement(frame=94704, timestamp=1691.823055, point_count=14)
RadarMeasurement(frame=94705, timestamp=1691.841768, point_count=8)
RadarMeasurement(frame=94706, timestamp=1691.860810, point_count=9)
RadarMeasurement(frame=94707, timestamp=1691.879811, point_count=8)
RadarMeasurement(frame=94708, timestamp=1691.899480, point_count=11)
RadarMeasurement(frame=94709, timestamp=1691.918187, point_count=6)
RadarMeasurement(frame=94710, timestamp=1691.937764, point_count=9)
RadarMeasurement(frame=94711, timestamp=1691.957134, point_count=10)
RadarMeasurement(frame=94712, timestamp=1691.975249, point_count=6)
RadarMeasurement(frame=94713, timestamp=1691.993913, point_count=12)
RadarMeasurement(frame=94714, timestamp=1692.012413, point_count=8)
RadarMeasurement(frame=94715, timestamp=1692.032305, point_count=11)
RadarMeasurement(frame=94716, timestamp=1692.051681, point_count=10)
RadarMeasurement(frame=94717, timestamp=1692.070416, point_count=6)
RadarMeasurement(frame=94718, timestamp=1692.089737, point_count=9)
RadarMeasurement(frame=94719, timestamp=1692.109621, point_count=11)
RadarMeasurement(frame=94720, timestamp=1692.128619, point_count=9)
RadarMeasurement(frame=94721, timestamp=1692.147372, point_count=8)
RadarMeasurement(frame=94722, timestamp=1692.165938, point_count=10)
RadarMeasurement(frame=94723, timestamp=1692.185197, point_count=8)
RadarMeasurement(frame=94724, timestamp=1692.204518, point_count=9)
RadarMeasurement(frame=94725, timestamp=1692.223646, point_count=13)
RadarMeasurement(frame=94726, timestamp=1692.242534, point_count=10)
RadarMeasurement(frame=94727, timestamp=1692.264963, point_count=11)
RadarMeasurement(frame=94728, timestamp=1692.286116, point_count=9)
RadarMeasurement(frame=94729, timestamp=1692.305351, point_count=6)
RadarMeasurement(frame=94730, timestamp=1692.324607, point_count=8)
RadarMeasurement(frame=94731, timestamp=1692.343556, point_count=7)
RadarMeasurement(frame=94732, timestamp=1692.362641, point_count=13)
RadarMeasurement(frame=94733, timestamp=1692.381540, point_count=12)
RadarMeasurement(frame=94734, timestamp=1692.401313, point_count=11)
RadarMeasurement(frame=94735, timestamp=1692.420511, point_count=13)
RadarMeasurement(frame=94736, timestamp=1692.439093, point_count=12)
RadarMeasurement(frame=94737, timestamp=1692.458020, point_count=13)
RadarMeasurement(frame=94738, timestamp=1692.477015, point_count=9)
RadarMeasurement(frame=94739, timestamp=1692.496759, point_count=11)
RadarMeasurement(frame=94740, timestamp=1692.515562, point_count=11)
RadarMeasurement(frame=94741, timestamp=1692.534691, point_count=5)
RadarMeasurement(frame=94742, timestamp=1692.553558, point_count=8)
RadarMeasurement(frame=94743, timestamp=1692.572902, point_count=8)
RadarMeasurement(frame=94744, timestamp=1692.591487, point_count=7)
RadarMeasurement(frame=94745, timestamp=1692.610142, point_count=7)
RadarMeasurement(frame=94746, timestamp=1692.629087, point_count=4)
RadarMeasurement(frame=94747, timestamp=1692.649180, point_count=11)
RadarMeasurement(frame=94748, timestamp=1692.667796, point_count=10)
RadarMeasurement(frame=94749, timestamp=1692.686554, point_count=9)
RadarMeasurement(frame=94750, timestamp=1692.706221, point_count=8)
RadarMeasurement(frame=94751, timestamp=1692.725813, point_count=7)
RadarMeasurement(frame=94752, timestamp=1692.744728, point_count=9)
RadarMeasurement(frame=94753, timestamp=1692.762957, point_count=6)
RadarMeasurement(frame=94754, timestamp=1692.781818, point_count=12)
RadarMeasurement(frame=94755, timestamp=1692.801441, point_count=9)
RadarMeasurement(frame=94756, timestamp=1692.819706, point_count=4)
RadarMeasurement(frame=94757, timestamp=1692.838697, point_count=11)
RadarMeasurement(frame=94758, timestamp=1692.856849, point_count=7)
RadarMeasurement(frame=94759, timestamp=1692.875471, point_count=3)
RadarMeasurement(frame=94760, timestamp=1692.894007, point_count=4)
RadarMeasurement(frame=94761, timestamp=1692.913286, point_count=9)
RadarMeasurement(frame=94762, timestamp=1692.932602, point_count=9)
RadarMeasurement(frame=94763, timestamp=1692.950627, point_count=12)
RadarMeasurement(frame=94764, timestamp=1692.969141, point_count=7)
RadarMeasurement(frame=94765, timestamp=1692.988105, point_count=6)
RadarMeasurement(frame=94766, timestamp=1693.008425, point_count=11)
RadarMeasurement(frame=94767, timestamp=1693.028348, point_count=11)
RadarMeasurement(frame=94768, timestamp=1693.051152, point_count=13)
RadarMeasurement(frame=112017, timestamp=2011.315681, point_count=26)
RadarMeasurement(frame=112018, timestamp=2011.335397, point_count=21)
RadarMeasurement(frame=112019, timestamp=2011.354954, point_count=21)
RadarMeasurement(frame=112020, timestamp=2011.373803, point_count=19)
RadarMeasurement(frame=112021, timestamp=2011.392057, point_count=18)
RadarMeasurement(frame=112022, timestamp=2011.410696, point_count=19)
RadarMeasurement(frame=112023, timestamp=2011.428574, point_count=19)
RadarMeasurement(frame=112024, timestamp=2011.446953, point_count=16)
RadarMeasurement(frame=112025, timestamp=2011.464482, point_count=20)
RadarMeasurement(frame=112026, timestamp=2011.481691, point_count=20)
RadarMeasurement(frame=112027, timestamp=2011.498752, point_count=15)
RadarMeasurement(frame=112028, timestamp=2011.516527, point_count=16)
RadarMeasurement(frame=112029, timestamp=2011.537320, point_count=22)
RadarMeasurement(frame=112030, timestamp=2011.558655, point_count=24)
RadarMeasurement(frame=112031, timestamp=2011.576563, point_count=17)
RadarMeasurement(frame=112032, timestamp=2011.595025, point_count=21)
RadarMeasurement(frame=112033, timestamp=2011.614494, point_count=13)
RadarMeasurement(frame=112034, timestamp=2011.633440, point_count=16)
RadarMeasurement(frame=112035, timestamp=2011.652360, point_count=15)
RadarMeasurement(frame=112036, timestamp=2011.671055, point_count=20)
RadarMeasurement(frame=112037, timestamp=2011.690871, point_count=17)
RadarMeasurement(frame=112038, timestamp=2011.709988, point_count=19)
RadarMeasurement(frame=112039, timestamp=2011.728750, point_count=21)
RadarMeasurement(frame=112040, timestamp=2011.747873, point_count=14)
RadarMeasurement(frame=112041, timestamp=2011.767632, point_count=16)
RadarMeasurement(frame=112042, timestamp=2011.786451, point_count=16)
RadarMeasurement(frame=112043, timestamp=2011.804653, point_count=20)
RadarMeasurement(frame=112044, timestamp=2011.823653, point_count=17)
RadarMeasurement(frame=112045, timestamp=2011.845040, point_count=24)
RadarMeasurement(frame=112046, timestamp=2011.864481, point_count=19)
RadarMeasurement(frame=112047, timestamp=2011.883440, point_count=16)
RadarMeasurement(frame=112048, timestamp=2011.901856, point_count=18)
RadarMeasurement(frame=112049, timestamp=2011.921393, point_count=14)
RadarMeasurement(frame=112050, timestamp=2011.941337, point_count=14)
RadarMeasurement(frame=112051, timestamp=2011.961041, point_count=19)
RadarMeasurement(frame=112052, timestamp=2011.980323, point_count=18)
RadarMeasurement(frame=112053, timestamp=2011.999525, point_count=19)
RadarMeasurement(frame=112054, timestamp=2012.024091, point_count=25)
RadarMeasurement(frame=112055, timestamp=2012.046223, point_count=20)
RadarMeasurement(frame=112056, timestamp=2012.074426, point_count=29)
RadarMeasurement(frame=112057, timestamp=2012.102119, point_count=31)
RadarMeasurement(frame=112058, timestamp=2012.128766, point_count=25)
RadarMeasurement(frame=112059, timestamp=2012.150989, point_count=20)
RadarMeasurement(frame=112060, timestamp=2012.172976, point_count=26)
RadarMeasurement(frame=112061, timestamp=2012.194574, point_count=23)
RadarMeasurement(frame=112062, timestamp=2012.215848, point_count=22)
RadarMeasurement(frame=112063, timestamp=2012.238545, point_count=22)
RadarMeasurement(frame=112064, timestamp=2012.259420, point_count=16)
RadarMeasurement(frame=112065, timestamp=2012.281473, point_count=17)
RadarMeasurement(frame=112066, timestamp=2012.303822, point_count=22)
RadarMeasurement(frame=112067, timestamp=2012.325031, point_count=20)
RadarMeasurement(frame=112068, timestamp=2012.348733, point_count=21)
RadarMeasurement(frame=112069, timestamp=2012.370250, point_count=23)
RadarMeasurement(frame=112070, timestamp=2012.394433, point_count=23)
RadarMeasurement(frame=112071, timestamp=2012.419008, point_count=27)
RadarMeasurement(frame=112072, timestamp=2012.440317, point_count=24)
RadarMeasurement(frame=112073, timestamp=2012.459430, point_count=20)
RadarMeasurement(frame=112074, timestamp=2012.478262, point_count=19)
RadarMeasurement(frame=112075, timestamp=2012.499140, point_count=21)
RadarMeasurement(frame=112076, timestamp=2012.520663, point_count=18)
RadarMeasurement(frame=112077, timestamp=2012.540379, point_count=19)
RadarMeasurement(frame=112078, timestamp=2012.560405, point_count=22)
RadarMeasurement(frame=112079, timestamp=2012.580578, point_count=24)
RadarMeasurement(frame=112080, timestamp=2012.600307, point_count=24)
RadarMeasurement(frame=112081, timestamp=2012.621088, point_count=24)
